00> [OTA] seq=170 , [RX] 0x18DA03F1, 2E D0 00 BF 20 78 E1 78
00> [OTA] seq=171 , [RX] 0x18DA03F1, 2F 88 42 32 DC 20 78 61
00> [OTA] seq=172 , [RX] 0x18DA03F1, 20 79 88 42 2E DC 20 78
00> [OTA] seq=173 , [RX] 0x18DA03F1, 21 A1 79 88 42 2A DC A0
00> [OTA] seq=174 , [RX] 0x18DA03F1, 11 02 36 0B 03 28 1C D0
00> [OTA] seq=175 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=176 , [TX] 0x18DAF103, 02 76 0B AA AA AA AA AA (ACK, seq=11)
00> [OTA] seq=177 , [RX] 0x18DA03F1, 21 20 79 A1 79 40 1A 02
00> [OTA] seq=178 , [RX] 0x18DA03F1, 22 28 17 D0 20 79 A1 79
00> [OTA] seq=179 , [RX] 0x18DA03F1, 28 79 21 79 40 1A 03 28
00> [OTA] seq=180 , [RX] 0x18DA03F1, 29 00 D1 04 E0 40 F2 3B
00> [OTA] seq=181 , [RX] 0x18DA03F1, 2A 41 35 A0 00 F0 7F F8
00> [OTA] seq=182 , [RX] 0x18DA03F1, 2B 00 BF 3B 48 00 78 00
00> [OTA] seq=183 , [RX] 0x18DA03F1, 21 F8 D3 33 48 00 88 4A
00> [OTA] seq=184 , [RX] 0x18DA03F1, 22 F2 01 51 08 43 30 49
00> [OTA] seq=185 , [RX] 0x18DA03F1, 23 08 80 A0 78 E1 78 40
00> [OTA] seq=186 , [RX] 0x18DA03F1, 29 01 70 23 49 26 39 08
00> [OTA] seq=187 , [RX] 0x18DA03F1, 2A 62 23 48 00 88 4F F6
00> [OTA] seq=188 , [RX] 0x18DA03F1, 2B FE 71 08 40 40 F4 25
00> [OTA] seq=189 , [RX] 0x18DA03F1, 2C 40 1E 49 26 39 A1 F8
00> [OTA] seq=190 , [RX] 0x18DA03F1, 11 02 36 0C 05 98 40 1C
00> [OTA] seq=191 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=192 , [TX] 0x18DAF103, 02 76 0C AA AA AA AA AA (ACK, seq=12)
00> [OTA] seq=193 , [RX] 0x18DA03F1, 21 05 90 05 98 B0 F5 00
00> [OTA] seq=194 , [RX] 0x18DA03F1, 22 7F F8 D3 06 B0 10 BD
