00> [OTA] seq=5539, time= 49.966s, [RX] 0x18DA03F1, 2D 02 F0 F0 F9 80 46 01 <-- CF
00> [OTA] seq=5540, time= 49.968s, [RX] 0x18DA03F1, 2E 21 28 46 02 F0 EB F9 <-- CF
00> [OTA] seq=5541, time= 49.969s, [RX] 0x18DA03F1, 2F 81 46 01 2C 07 D1 B8 <-- CF
00> [OTA] seq=5542, time= 49.971s, [RX] 0x18DA03F1, 20 F1 01 0F 02 D0 B9 F1 <-- CF
00> [OTA] seq=5543, time= 49.993s, [RX] 0x18DA03F1, 21 01 0F 08 D1 01 27 06 <-- CF
00> [OTA] seq=5544, time= 49.996s, [RX] 0x18DA03F1, 22 E0 31 46 28 46 02 F0 <-- CF
00> [OTA] seq=5545, time= 49.997s, [RX] 0x18DA03F1, 23 DC F9 01 28 00 D1 01 <-- CF
00> [OTA] seq=5546, time= 50.000s, [RX] 0x18DA03F1, 24 27 01 2F 0B D1 00 20 <-- CF
00> [FW] >>> OnTransferData: seq=5, len=256
00> [OTA] seq=5547, time= 50.014s, [TX] 0x18DAF103, 03 76 76 05 AA AA AA AA 
00> [OTA] seq=5548, time= 50.035s, [RX] 0x18DA03F1, 11 02 36 06 01 E0 00 BF <-- FF TransferData
00> [OTA] FF: response_id=0x18DAF103
00> [OTA] FC: dst_id=0x18DAF103 bs=0 stmin=5
00> [OTA] seq=5549, time= 50.035s, [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=5550, time= 50.037s, [RX] 0x18DA03F1, 21 40 1C 05 49 09 68 42 <-- CF
00> [OTA] seq=5551, time= 50.039s, [RX] 0x18DA03F1, 22 F2 10 72 B1 FB F2 F1 <-- CF
00> [OTA] seq=5552, time= 50.039s, [RX] 0x18DA03F1, 23 81 42 F5 D8 BD E8 F0 <-- CF
00> [OTA] seq=5553, time= 50.039s, [RX] 0x18DA03F1, 24 87 00 00 00 80 FF 1F <-- CF
00> [OTA] seq=5554, time= 50.042s, [RX] 0x18DA03F1, 25 10 B5 AF F3 00 80 10 <-- CF
00> [OTA] seq=5555, time= 50.044s, [RX] 0x18DA03F1, 26 BD 70 B5 00 21 00 22 <-- CF
00> [OTA] seq=5556, time= 50.047s, [RX] 0x18DA03F1, 27 00 24 00 23 00 28 7E <-- CF
00> [OTA] seq=5557, time= 50.051s, [RX] 0x18DA03F1, 28 D0 43 4D 2D 78 05 F0 <-- CF
00> [OTA] seq=5558, time= 50.072s, [RX] 0x18DA03F1, 29 07 05 05 2D 15 D2 DF <-- CF
00> [OTA] seq=5559, time= 50.074s, [RX] 0x18DA03F1, 2A E8 05 F0 03 06 09 0D <-- CF
00> [OTA] seq=5560, time= 50.077s, [RX] 0x18DA03F1, 2B 10 00 3E 4D 05 60 3B <-- CF
00> [OTA] seq=5561, time= 50.079s, [RX] 0x18DA03F1, 2C E0 3E 4D 05 60 38 E0 <-- CF
00> [OTA] seq=5562, time= 50.080s, [RX] 0x18DA03F1, 2D 4F F4 00 45 05 60 34 <-- CF
00> [OTA] seq=5563, time= 50.082s, [RX] 0x18DA03F1, 2E E0 3A 4D 05 60 31 E0 <-- CF
00> [OTA] seq=5564, time= 50.083s, [RX] 0x18DA03F1, 2F 4F F4 00 45 05 60 2D <-- CF
00> [OTA] seq=5565, time= 50.085s, [RX] 0x18DA03F1, 20 E0 35 4D DA 35 2D 68 <-- CF
00> [OTA] seq=5566, time= 50.105s, [RX] 0x18DA03F1, 21 C5 F3 C0 13 32 4D 26 <-- CF
00> [OTA] seq=5567, time= 50.105s, [RX] 0x18DA03F1, 22 3D D5 F8 00 51 2A 0F <-- CF
00> [OTA] seq=5568, time= 50.107s, [RX] 0x18DA03F1, 23 30 4D DA 35 2D 68 C5 <-- CF
00> [OTA] seq=5569, time= 50.107s, [RX] 0x18DA03F1, 24 F3 08 21 2D 4D 26 3D <-- CF
00> [OTA] seq=5570, time= 50.107s, [RX] 0x18DA03F1, 25 D5 F8 00 51 05 F0 1F <-- CF
00> [OTA] seq=5571, time= 50.109s, [RX] 0x18DA03F1, 26 04 53 B9 65 1C 2B 4E <-- CF
00> [OTA] seq=5572, time= 50.110s, [RX] 0x18DA03F1, 27 B6 FB F5 F5 4E 1C 75 <-- CF
00> [OTA] seq=5573, time= 50.110s, [RX] 0x18DA03F1, 28 43 56 1C B5 FB F6 F5 <-- CF
00> [OTA] seq=5574, time= 50.130s, [RX] 0x18DA03F1, 29 05 60 0B E0 01 2B 09 <-- CF
00> [OTA] seq=5575, time= 50.132s, [RX] 0x18DA03F1, 2A D1 65 1C 24 4E B6 FB <-- CF
00> [OTA] seq=5576, time= 50.132s, [RX] 0x18DA03F1, 2B F5 F5 4E 1C 75 43 56 <-- CF
00> [OTA] seq=5577, time= 50.132s, [RX] 0x18DA03F1, 2C 1C B5 FB F6 F5 05 60 <-- CF
00> [OTA] seq=5578, time= 50.132s, [RX] 0x18DA03F1, 2D 00 BF 00 BF 1D 4E 26 <-- CF
00> [OTA] seq=5579, time= 50.134s, [RX] 0x18DA03F1, 2E 3E 05 68 36 6A C6 F3 <-- CF
00> [OTA] seq=5580, time= 50.136s, [RX] 0x18DA03F1, 2F 02 66 F5 40 45 60 19 <-- CF
00> [OTA] seq=5581, time= 50.139s, [RX] 0x18DA03F1, 20 4E 26 3E 05 68 36 6A <-- CF
00> [OTA] seq=5582, time= 50.161s, [RX] 0x18DA03F1, 21 C6 F3 02 56 F5 40 85 <-- CF
00> [OTA] seq=5583, time= 50.163s, [RX] 0x18DA03F1, 22 60 15 4E 26 3E 05 68 <-- CF
00> [OTA] seq=5584, time= 50.165s, [RX] 0x18DA03F1, 23 36 6A 06 F0 07 06 F5 <-- CF
00> [OTA] seq=5585, time= 50.168s, [RX] 0x18DA03F1, 24 40 C5 60 11 4E 26 3E <-- CF
00> [FW] >>> OnTransferData: seq=6, len=256
00> [OTA] seq=5586, time= 50.182s, [TX] 0x18DAF103, 03 76 76 06 AA AA AA AA 
00> [OTA] seq=5587, time= 50.203s, [RX] 0x18DA03F1, 11 02 36 07 05 68 36 6A <-- FF TransferData
00> [OTA] FF: response_id=0x18DAF103
00> [OTA] FC: dst_id=0x18DAF103 bs=0 stmin=5
00> [OTA] seq=5588, time= 50.203s, [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=5589, time= 50.205s, [RX] 0x18DA03F1, 21 C6 F3 02 16 F5 40 05 <-- CF
